Time(s),Voltage(mV),Current(mA),solar,Temp(C)
4,17301.25,13.75,10,6.11
9,17298.75,12.5,10,5.53
14,17295.0,13.75,10,5.38
19,17290.0,12.5,10,5.82
25,17281.25,11.25,10,6.11
30,17270.0,5.0,10,6.4
35,17277.5,7.5,9,6.25
40,17297.5,11.25,5,5.96
45,17275.0,5.0,10,5.82
50,17087.5,0.0,10,5.82
56,17297.5,11.25,10,6.25
61,17290.0,11.25,10,6.11
66,17300.0,13.75,10,6.25
71,17300.0,13.75,10,6.4
76,17295.0,12.5,10,6.4
81,17298.75,11.25,10,5.96
87,17297.5,11.25,10,5.82
92,17293.75,11.25,10,5.96
97,17297.5,11.25,10,6.11
102,17301.25,12.5,10,6.11
107,17295.0,11.25,10,6.25
112,17287.5,8.75,10,5.82
117,17273.75,6.25,10,5.67
123,17301.25,11.25,10,5.24
128,17296.25,10.0,10,5.24
133,17295.0,10.0,10,5.24
138,17302.5,13.75,10,5.24
143,17306.25,13.75,10,5.53
149,17283.75,8.75,10,5.24
154,17281.25,7.5,10,5.1
159,17252.5,1.25,10,5.1
164,17258.75,1.25,9,5.53
169,17268.75,6.25,9,5.24
174,17260.0,3.75,9,5.24
179,17266.25,5.0,9,5.53
185,17261.25,3.75,9,5.96
190,17272.5,6.25,9,5.67
195,17276.25,7.5,9,5.38
200,17270.0,5.0,9,5.24
205,17270.0,3.75,9,5.67
210,17260.0,5.0,9,5.82
216,17248.75,2.5,9,5.96
221,17252.5,0.0,9,6.11
226,17256.25,1.25,9,6.25
231,17258.75,2.5,9,6.25
236,17257.5,1.25,9,6.25
241,17221.25,0.0,9,5.96
246,17268.75,6.25,9,6.25
252,16841.25,-1.25,9,6.11
257,17086.25,0.0,9,5.82
262,16835.0,0.0,6,5.82
267,17253.75,2.5,8,5.82
272,17273.75,6.25,0,5.82
278,17085.0,0.0,9,5.53
283,15452.5,0.0,9,5.53
288,15048.75,0.0,7,5.96
293,16565.0,0.0,7,6.25
298,16776.25,0.0,7,6.25
303,16215.0,1.25,8,6.25
308,17253.75,0.0,8,6.25
314,17273.75,6.25,9,5.96
319,16556.25,1.25,8,5.82
324,17041.25,0.0,9,5.82
329,17205.0,0.0,7,5.67
334,17245.0,1.25,8,5.96
340,16093.75,1.25,8,6.4
345,15411.25,0.0,8,6.4
350,15218.75,1.25,7,6.4
355,15257.5,0.0,8,6.55
360,15841.25,0.0,7,6.25
365,15733.75,2.5,1,6.11
370,15902.5,-1.25,0,6.25
376,16491.25,-1.25,9,5.96
381,16493.75,0.0,9,5.96
386,15715.0,0.0,9,5.67
391,15942.5,1.25,8,5.24
396,16025.0,0.0,8,5.24
401,17156.25,0.0,7,5.24
407,16118.75,1.25,9,5.1
412,15868.75,0.0,7,5.24
417,16270.0,0.0,7,5.38
422,16181.25,-1.25,7,5.53
427,16476.25,0.0,7,5.38
432,16445.0,-2.5,7,5.24
437,16397.5,0.0,7,5.24
443,16835.0,1.25,7,5.38
448,15805.0,-1.25,0,5.24
453,15951.25,-1.25,3,5.53
458,16148.75,0.0,2,5.53
463,15645.0,0.0,2,5.53
468,15905.0,1.25,1,5.53
474,15858.75,0.0,1,5.38
479,17078.75,0.0,7,5.53
484,16858.75,1.25,9,5.82
489,16892.5,-1.25,9,5.82
494,17268.75,6.25,9,5.67
499,17151.25,0.0,9,5.24
504,16905.0,0.0,8,5.1
510,16627.5,1.25,9,4.96
515,16478.75,1.25,8,5.1
520,16641.25,0.0,8,4.96
525,17272.5,8.75,8,5.1
530,17267.5,5.0,9,5.1
535,17261.25,5.0,9,4.96
540,17263.75,6.25,9,4.96
546,17265.0,6.25,9,4.96
551,17260.0,5.0,9,4.96
556,17271.25,8.75,9,4.96
561,17271.25,7.5,9,5.1
566,17245.0,2.5,9,5.24
572,17251.25,1.25,9,5.24
577,17248.75,1.25,9,5.24
582,17252.5,1.25,9,4.96
587,17261.25,5.0,9,4.96
592,17251.25,3.75,9,4.96
597,17252.5,3.75,9,4.96
602,16812.5,0.0,9,4.96
608,16768.75,0.0,9,5.24
613,16642.5,1.25,9,5.38
618,16908.75,0.0,8,5.53
623,17075.0,0.0,9,5.67
628,16790.0,0.0,9,5.67
634,17200.0,1.25,9,5.82
639,17232.5,0.0,9,5.67
644,17216.25,1.25,9,5.67
649,17228.75,-1.25,9,5.53
654,17226.25,1.25,9,5.38
659,17106.25,0.0,8,5.24
664,17030.0,0.0,8,5.38
670,17102.5,0.0,8,5.24
675,16811.25,0.0,9,5.24
680,17043.75,0.0,9,5.38
685,16886.25,0.0,9,5.38
690,17240.0,0.0,8,5.53
696,17201.25,0.0,8,5.38
701,15882.5,1.25,8,5.53
706,16303.75,1.25,8,5.53
711,17073.75,0.0,8,5.38
716,17228.75,0.0,8,5.53
721,17252.5,3.75,8,5.53
726,17245.0,2.5,9,5.38
732,17233.75,0.0,9,5.53
737,17203.75,1.25,9,5.38
742,17227.5,1.25,9,5.53
747,17231.25,2.5,9,5.82
752,17247.5,1.25,9,5.82
757,17233.75,2.5,8,5.96
763,17232.5,1.25,8,6.11
768,17240.0,2.5,9,5.96
773,17227.5,1.25,8,5.96
778,17133.75,-1.25,8,5.82
784,17135.0,0.0,8,5.82
789,17240.0,1.25,8,5.82
794,16917.5,-1.25,8,5.82
799,17252.5,3.75,8,5.82
804,17231.25,1.25,8,5.67
809,17246.25,2.5,8,5.67
815,17243.75,1.25,8,5.82
820,17248.75,1.25,8,5.67
825,17175.0,0.0,8,5.67
830,17161.25,1.25,8,5.82
835,17137.5,1.25,8,5.96
840,17238.75,0.0,8,5.96
845,17217.5,0.0,8,5.96
851,17208.75,0.0,8,5.96
856,17140.0,0.0,8,5.96
861,17238.75,1.25,8,5.96
866,17242.5,1.25,8,5.82
871,17245.0,0.0,8,5.82
876,17245.0,1.25,8,5.82
882,17237.5,2.5,8,5.82
887,17233.75,1.25,8,5.82
892,17232.5,1.25,8,5.82
897,17233.75,2.5,8,5.82
902,17230.0,0.0,8,5.96
907,17242.5,2.5,8,5.96
912,17233.75,1.25,8,5.82
918,17168.75,0.0,8,6.4
923,17230.0,1.25,8,6.7
928,17108.75,0.0,8,6.7
933,17032.5,0.0,8,6.85
938,17236.25,1.25,8,6.4
943,17235.0,2.5,8,6.11
949,17236.25,0.0,8,5.82
954,17228.75,1.25,8,6.25
960,17062.5,0.0,8,6.7
965,17125.0,-1.25,8,7.15
970,16986.25,0.0,8,7.45
975,17108.75,0.0,8,7.91
981,16632.5,1.25,8,7.6
986,16285.0,0.0,7,6.85
991,16615.0,0.0,6,6.55
996,16442.5,0.0,7,6.4
1001,16338.75,0.0,7,6.4
1006,15365.0,1.25,7,6.85
1012,14426.25,1.25,5,6.55
1017,15643.75,0.0,6,6.55
1022,15580.0,2.5,6,6.4
1027,16241.25,0.0,6,6.25
1032,16300.0,1.25,6,6.11
1037,16182.5,0.0,7,5.96
1043,15993.75,0.0,6,5.82
1048,15662.5,1.25,6,5.82
1053,15537.5,1.25,6,5.96
1058,15602.5,1.25,5,6.11
1063,15536.25,0.0,5,6.11
1068,15811.25,1.25,5,5.96
1073,15635.0,0.0,6,6.11
1079,14873.75,0.0,6,5.96
1084,15186.25,-1.25,5,5.96
1089,15135.0,0.0,5,5.96
1094,14942.5,1.25,5,5.67
1099,14316.25,0.0,5,5.53
1104,14853.75,-1.25,5,5.53
1110,14425.0,1.25,5,5.53
1115,14373.75,0.0,5,5.53
1120,14651.25,0.0,4,5.67
1125,14358.75,0.0,5,5.38
1130,14385.0,0.0,4,5.53
1135,14230.0,0.0,4,5.38
1141,14286.25,0.0,4,5.38
1146,14058.75,0.0,4,5.38
1151,13955.0,1.25,5,5.53
1156,14356.25,-1.25,4,5.53
1161,13680.0,0.0,4,5.67
1166,15135.0,0.0,5,5.67
1172,15307.5,0.0,5,5.67
1177,15132.5,0.0,5,5.82
1182,14992.5,1.25,5,5.67
1187,14182.5,1.25,5,5.67
1192,14596.25,0.0,4,5.82
1197,14661.25,1.25,5,5.82
1203,14848.75,2.5,5,5.82
1208,14711.25,1.25,5,5.82
1213,15002.5,0.0,5,5.82
1218,14583.75,-1.25,5,5.82
1223,14718.75,1.25,5,5.82
1228,14465.0,0.0,5,5.82
1234,14496.25,-1.25,5,5.82
1239,14311.25,1.25,4,5.82
1244,14438.75,0.0,4,5.82
1249,14440.0,0.0,4,5.82
1254,14963.75,1.25,4,5.82
1259,15170.0,0.0,5,5.82
1265,14588.75,1.25,5,5.82
1270,14583.75,0.0,4,5.67
1275,14583.75,0.0,4,5.67
1280,14561.25,0.0,4,5.67
1285,14653.75,-1.25,5,5.67
1290,14638.75,1.25,5,5.67
1296,14927.5,1.25,5,5.67
1301,14967.5,0.0,5,5.53
1306,14706.25,0.0,4,5.53
1311,14981.25,0.0,5,5.67
1316,15056.25,1.25,5,5.67
1321,14240.0,-1.25,5,5.67
1327,14675.0,2.5,5,5.67
1332,14877.5,1.25,5,5.53
1337,14922.5,0.0,5,5.67
1342,14842.5,0.0,5,5.38
1347,15483.75,-1.25,5,5.24
1353,15438.75,1.25,5,5.38
1358,16845.0,2.5,6,5.53
1363,16766.25,-1.25,7,5.38
1368,16358.75,-1.25,7,5.38
1373,16193.75,-1.25,6,5.53
1378,15987.5,1.25,6,5.53
1384,15798.75,-1.25,6,5.53
1389,14895.0,0.0,6,5.53
1394,15882.5,2.5,6,5.53
1399,15985.0,1.25,5,5.53
1404,15711.25,1.25,6,5.53
1409,16508.75,1.25,6,5.53
1415,16161.25,0.0,6,5.82
1420,16343.75,-1.25,6,5.82
1425,16107.5,0.0,6,5.82
1430,16481.25,0.0,7,5.82
1436,16528.75,0.0,7,5.67
1441,16360.0,0.0,7,5.53
1446,15576.25,0.0,6,5.53
1451,15475.0,1.25,5,5.82
1456,16315.0,0.0,5,5.96
1461,15972.5,0.0,6,6.11
1467,16056.25,0.0,6,6.55
1472,16001.25,0.0,6,6.55
1477,16532.5,0.0,6,6.4
1482,16096.25,0.0,5,6.25
1487,16210.0,0.0,6,5.96
1493,15022.5,1.25,7,5.96
1498,15291.25,-1.25,5,5.82
1503,16311.25,-1.25,5,5.82
1508,16497.5,1.25,7,5.67
1513,16565.0,-1.25,7,5.67
1518,16325.0,1.25,7,5.67
1524,16190.0,0.0,7,5.67
1529,16607.5,1.25,7,5.67
1534,16626.25,0.0,6,5.82
1539,16583.75,0.0,6,5.82
1544,16537.5,0.0,7,5.67
1550,16668.75,0.0,7,5.67
1555,16687.5,0.0,7,5.67
1560,16612.5,0.0,7,5.82
1565,16641.25,1.25,7,5.67
1570,16623.75,-1.25,7,5.82
1576,15907.5,1.25,6,5.67
1581,16392.5,0.0,6,5.67
1586,16207.5,-1.25,7,5.67
1591,15817.5,1.25,7,5.53
1596,16618.75,1.25,7,5.38
1601,16215.0,0.0,7,5.24
1607,16340.0,1.25,7,5.24
1612,16243.75,1.25,7,5.53
1617,16340.0,1.25,7,5.67
1622,16096.25,1.25,7,5.82
1628,15953.75,0.0,7,5.67
1633,16431.25,0.0,7,5.67
1638,16105.0,0.0,7,5.67
1643,16500.0,0.0,7,5.67
1648,16545.0,-1.25,7,5.53
1653,16570.0,1.25,7,5.53
1659,16511.25,0.0,7,5.67
1664,16401.25,0.0,7,5.53
1669,16590.0,1.25,7,5.67
1674,16178.75,0.0,7,5.67
1680,16492.5,-1.25,7,5.67
1685,16067.5,-1.25,1,5.67
1690,16200.0,1.25,1,5.82
1695,15831.25,0.0,1,5.96
1700,16046.25,1.25,1,6.25
1705,15838.75,0.0,2,6.11
1711,15801.25,0.0,0,6.11
1716,16256.25,0.0,7,5.82
1721,15643.75,1.25,6,5.67
1726,15540.0,1.25,6,5.67
1731,13611.25,1.25,3,5.67
1737,13735.0,0.0,4,5.67
1742,12925.0,1.25,3,5.67
1747,13412.5,0.0,4,5.67
1752,11961.25,0.0,4,5.67
1757,16033.75,0.0,3,5.67
1763,16367.5,0.0,6,5.67
1768,14900.0,0.0,6,5.67
1773,14241.25,-1.25,6,5.67
1778,14445.0,0.0,6,5.67
1783,14591.25,0.0,6,5.82
1789,14001.25,0.0,1,5.96
1794,14223.75,0.0,2,5.96
1799,13632.5,0.0,0,6.11
1804,13721.25,0.0,1,6.11
1809,15083.75,0.0,6,6.25
1815,15452.5,0.0,5,6.11
1820,16601.25,0.0,4,6.25
1825,16300.0,1.25,7,5.96
1830,14886.25,1.25,4,5.82
1835,14701.25,1.25,5,5.96
1841,16112.5,0.0,7,5.96
1846,14881.25,-1.25,7,5.96
1851,14762.5,0.0,5,5.96
1856,14487.5,1.25,5,5.67
1861,14513.75,0.0,5,5.82
1867,14502.5,0.0,6,5.82
1872,13081.25,1.25,6,5.96
1877,13715.0,1.25,3,5.96
1882,13838.75,0.0,5,6.11
1887,15470.0,0.0,2,6.11
1893,17250.0,1.25,8,6.25
1898,17260.0,5.0,9,6.11
1903,17243.75,2.5,9,6.11
1908,17241.25,0.0,7,6.11
1913,17232.5,1.25,8,6.11
1919,17253.75,2.5,9,5.96
1924,17256.25,2.5,8,5.96
1929,17260.0,3.75,9,5.82
1934,17262.5,5.0,9,5.96
1939,17260.0,3.75,9,5.96
1945,17256.25,3.75,9,5.82
1950,17231.25,3.75,9,5.96
1955,17250.0,2.5,9,5.96
1960,17263.75,5.0,9,5.96
1965,17265.0,5.0,9,5.96
1971,17258.75,5.0,9,6.11
1976,17263.75,3.75,9,6.25
1981,17265.0,6.25,9,6.25
1986,17265.0,6.25,9,6.25
1991,17266.25,6.25,9,6.25
1997,17267.5,6.25,9,5.96
2002,17266.25,5.0,9,5.96
2007,17252.5,5.0,9,5.96
2012,17251.25,6.25,9,6.11
2018,17266.25,5.0,9,6.11
2023,17262.5,6.25,9,6.25
2028,17268.75,6.25,9,6.11
2033,17267.5,6.25,9,6.25
2038,17267.5,6.25,9,6.25
2044,17268.75,6.25,9,6.25
2049,17267.5,7.5,9,6.11
2054,16220.0,0.0,9,6.25
2059,17152.5,0.0,9,6.25
2064,17258.75,3.75,9,6.25
2070,17265.0,6.25,9,6.85
2075,14502.5,0.0,9,7.0
2080,17257.5,3.75,1,6.7
2085,17265.0,6.25,73,6.4
2090,17243.75,6.25,74,6.4
2096,17233.75,7.5,64,6.4
2101,17252.5,3.75,74,6.4
2106,17267.5,6.25,76,6.4
2111,17267.5,6.25,71,6.7
2116,17268.75,7.5,73,6.55
2122,17266.25,6.25,74,6.55
2127,17257.5,5.0,70,6.55
2132,17261.25,5.0,70,7.0
2137,17258.75,3.75,71,6.85
2142,17257.5,3.75,70,7.0
2148,17258.75,5.0,69,7.3
2153,17257.5,5.0,72,7.45
2158,17255.0,2.5,68,7.6
2163,17257.5,5.0,70,7.6
2169,17255.0,1.25,68,7.76
2174,17257.5,3.75,69,7.76
2179,17245.0,2.5,70,7.91
2184,17262.5,6.25,71,7.6
2189,17261.25,5.0,73,7.3
2195,17260.0,5.0,71,7.3
2200,17255.0,3.75,74,7.45
2205,17251.25,2.5,71,7.6
2210,17237.5,1.25,63,7.6
2216,17245.0,0.0,65,7.6
2221,17226.25,0.0,68,7.6
2226,17241.25,1.25,66,7.45
2231,17253.75,3.75,68,7.6
2236,17242.5,0.0,68,7.45
2242,17260.0,6.25,69,7.3
2247,17252.5,2.5,69,7.45
2252,17245.0,1.25,70,7.45
2257,17185.0,0.0,67,7.45
2262,17255.0,2.5,66,7.3
2268,17146.25,2.5,68,7.3
2273,17017.5,0.0,69,7.3
2278,16882.5,1.25,50,7.6
2283,17170.0,0.0,60,7.76
2289,16295.0,0.0,65,7.45
2294,16862.5,-1.25,59,7.3
2299,17010.0,1.25,59,7.15
2304,16916.25,0.0,64,7.15
2309,16920.0,0.0,63,6.85
2315,17026.25,2.5,66,6.55
2320,17133.75,-1.25,67,6.4
2325,17232.5,0.0,67,6.11
2330,17226.25,1.25,69,5.82
2335,17073.75,0.0,67,5.82
2341,17245.0,0.0,70,5.82
2346,17243.75,1.25,71,5.82
2351,17240.0,0.0,69,5.82
2356,17238.75,2.5,70,5.67
2362,17250.0,2.5,70,5.67
2367,17251.25,2.5,72,5.67
2372,17247.5,2.5,72,5.67
2377,17245.0,2.5,71,5.82
2382,17251.25,2.5,71,5.67
2388,17255.0,2.5,73,5.67
2393,17251.25,2.5,74,5.67
2398,17256.25,2.5,74,5.67
2403,17262.5,5.0,73,5.67
2409,17262.5,5.0,74,5.82
2414,17253.75,3.75,75,5.82
2419,15557.5,-1.25,57,5.96
2424,14186.25,2.5,38,5.96
2430,14925.0,0.0,41,5.82
2435,14345.0,0.0,33,5.82
2440,15943.75,1.25,35,5.82
2445,16791.25,0.0,62,5.82
2450,17056.25,0.0,59,5.82
2456,17205.0,1.25,66,5.82
2461,17193.75,-2.5,67,5.82
2466,16930.0,0.0,67,5.82
2471,16982.5,1.25,57,5.82
2476,17055.0,0.0,66,5.67
2482,17075.0,0.0,68,5.67
2487,17158.75,1.25,67,5.67
2492,17131.25,0.0,68,5.67
2497,16990.0,0.0,68,5.82
2503,16977.5,1.25,66,5.67
2508,17072.5,0.0,67,5.82
2513,16917.5,2.5,65,5.67
2518,17062.5,1.25,65,5.67
2523,17126.25,0.0,69,5.67
2529,17083.75,1.25,65,5.67
2534,17103.75,0.0,68,5.67
2539,17077.5,0.0,68,5.67
2544,17175.0,-1.25,68,5.67
2550,17187.5,0.0,69,5.67
2555,16912.5,1.25,67,5.67
2560,16881.25,1.25,68,5.82
2565,16828.75,0.0,61,5.82
2571,16630.0,0.0,60,5.82
2576,16878.75,0.0,61,5.82
2581,16773.75,0.0,63,5.96
2586,16777.5,0.0,61,5.96
2591,15826.25,0.0,53,5.96
2597,16686.25,1.25,49,6.4
2602,17045.0,0.0,67,6.4
2607,17002.5,-1.25,66,6.25
2612,16983.75,-1.25,62,6.25
2618,17028.75,1.25,63,6.25
2623,16781.25,1.25,51,6.11
2628,15956.25,1.25,60,6.11
2633,17252.5,3.75,68,5.96
2639,17266.25,6.25,56,6.25
2644,17193.75,0.0,69,6.7
2649,17250.0,1.25,71,7.15
2654,17253.75,3.75,60,7.0
2659,17270.0,6.25,67,7.0
2665,17248.75,2.5,72,7.6
2670,17252.5,2.5,72,7.76
2675,17263.75,6.25,71,8.23
2680,17275.0,6.25,77,7.76
2686,17267.5,7.5,76,7.3
2691,17295.0,13.75,85,7.15
2696,17300.0,16.25,89,6.85
2701,17305.0,18.75,89,7.0
2707,17305.0,16.25,89,6.85
2712,17302.5,17.5,90,6.7
2717,17306.25,18.75,89,7.0
2722,17310.0,17.5,91,7.6
2727,17302.5,16.25,85,7.76
2733,17305.0,16.25,86,7.91
2738,17305.0,17.5,90,7.45
2743,17306.25,18.75,90,7.45
2748,17310.0,18.75,90,7.0
2754,17313.75,18.75,90,7.15
2759,17310.0,18.75,90,7.15
2764,17310.0,17.5,87,7.76
2769,17298.75,17.5,90,7.76
2775,17302.5,17.5,79,7.15
2780,17298.75,17.5,79,7.15
2785,17288.75,13.75,79,7.15
2790,17322.5,23.75,64,7.0
2795,17328.75,25.0,78,7.0
2801,17298.75,16.25,98,6.7
2806,17150.0,1.25,97,6.55
2811,17178.75,0.0,27,6.55
2817,15982.5,1.25,44,6.55
2822,15827.5,1.25,36,6.7
2827,14885.0,1.25,67,6.85
2832,15790.0,0.0,57,6.85
2837,17145.0,-1.25,70,7.0
2843,17278.75,8.75,76,7.15
2848,17255.0,2.5,62,7.15
2853,17248.75,1.25,72,6.85
2858,17276.25,8.75,75,6.85
2864,16970.0,0.0,80,7.0
2869,17277.5,10.0,81,7.15
2874,16481.25,0.0,68,7.15
2879,16312.5,1.25,55,7.15
2885,17257.5,3.75,72,7.15
2890,16906.25,0.0,67,7.15
2895,16967.5,-1.25,61,7.15
2900,17121.25,-1.25,54,7.3
2906,17227.5,1.25,61,7.3
2911,17122.5,-1.25,56,7.15
2916,17232.5,0.0,72,7.45
2921,17227.5,2.5,68,7.45
2927,17202.5,0.0,59,7.45
2932,16421.25,1.25,40,7.45
2937,15375.0,0.0,29,7.3
2942,15937.5,1.25,43,7.15
2947,15622.5,0.0,37,6.85
2953,17331.25,26.25,72,6.85
2958,17330.0,26.25,98,6.7
2963,17332.5,26.25,98,6.55
2969,17331.25,26.25,98,6.55
2974,17337.5,26.25,97,6.7
2979,17337.5,27.5,99,6.7
2984,17327.5,23.75,97,6.7
2989,17331.25,27.5,98,6.55
2995,17335.0,27.5,99,6.7
3000,17328.75,25.0,98,6.55
3005,17338.75,28.75,100,6.7
3010,17333.75,27.5,99,6.7
3016,17336.25,27.5,101,6.7
3021,17332.5,27.5,98,6.55
3026,17311.25,27.5,99,6.7
3031,17326.25,23.75,98,6.55
3037,17340.0,28.75,100,6.4
3042,17333.75,27.5,99,6.55
3047,17332.5,27.5,98,6.55
3052,17315.0,30.0,99,6.4
3058,17302.5,21.25,98,6.11
3063,17328.75,23.75,99,5.82
3068,17338.75,30.0,99,5.82
3073,17337.5,28.75,98,5.67
3079,17333.75,25.0,100,5.53
3084,17340.0,27.5,99,5.53
3089,17332.5,27.5,93,5.67
3094,17331.25,26.25,98,5.82
3100,17331.25,25.0,100,5.96
3105,17328.75,26.25,91,6.11
3110,17325.0,25.0,96,6.25
3115,17336.25,28.75,98,6.55
3121,17313.75,23.75,99,6.7
3126,17330.0,26.25,102,6.7
3131,17328.75,22.5,96,6.55
3136,17327.5,25.0,94,6.4
3142,17323.75,22.5,101,6.11
3147,17332.5,28.75,97,5.96
3152,17318.75,21.25,98,5.82
3157,17327.5,26.25,93,5.67
3163,17325.0,25.0,100,5.38
3168,17343.75,31.25,102,5.38
3173,17335.0,28.75,101,5.24
3178,17335.0,31.25,101,5.1
3184,17338.75,31.25,99,5.24
3189,17355.0,30.0,99,5.38
3194,17332.5,26.25,103,5.38
3199,17341.25,31.25,98,5.53
3205,17352.5,30.0,93,5.53
3210,17357.5,31.25,99,5.24
3215,17355.0,31.25,97,4.96
3220,17328.75,27.5,103,4.82
3226,17357.5,32.5,101,4.54
3231,17356.25,32.5,98,4.27
3236,17355.0,32.5,105,3.99
3241,17327.5,23.75,103,3.72
3247,17347.5,33.75,101,3.59
3252,17356.25,33.75,99,3.45
3257,17345.0,31.25,105,3.05
3262,17363.75,33.75,93,2.79
3268,17318.75,28.75,104,2.4
3273,17362.5,33.75,105,2.4
3278,17361.25,32.5,102,2.53
3283,17360.0,30.0,105,2.27
3289,17348.75,33.75,98,2.4
3294,17351.25,33.75,103,2.27
3299,17348.75,32.5,103,2.02
3304,17351.25,33.75,105,1.76
3310,17363.75,32.5,104,1.64
3315,17340.0,32.5,98,1.64
3320,17340.0,28.75,95,1.39
3325,17355.0,33.75,97,1.01
3331,17351.25,30.0,102,0.64
3336,17362.5,30.0,97,0.52
3341,17350.0,30.0,104,0.16
3346,17332.5,28.75,97,-0.2
3352,17356.25,35.0,102,-0.44
3357,17355.0,32.5,99,-0.67
3362,17353.75,35.0,103,-1.02
3368,17362.5,33.75,98,-1.37
3373,17352.5,31.25,98,-1.6
3378,17351.25,32.5,100,-2.16
3383,17350.0,28.75,98,-2.39
3389,17336.25,30.0,99,-2.72
3394,17357.5,31.25,101,-2.83
3399,17353.75,33.75,100,-3.27
3404,17331.25,32.5,99,-3.59
3410,17361.25,33.75,101,-3.7
3415,17361.25,35.0,101,-4.12
3420,17358.75,31.25,97,-4.33
3426,17353.75,36.25,95,-4.65
3431,17352.5,33.75,103,-4.96
3436,17362.5,40.0,97,-5.17
3441,17348.75,37.5,103,-5.68
3447,17353.75,38.75,106,-5.88
3452,17346.25,40.0,108,-6.18
3457,17347.5,40.0,105,-6.38
3462,17347.5,41.25,111,-6.68
3468,17361.25,35.0,113,-6.88
3473,17355.0,46.25,106,-7.27
3478,17351.25,46.25,117,-7.46
3483,17378.75,52.5,119,-7.85
3489,17356.25,51.25,119,-8.04
3494,17368.75,52.5,124,-8.04
3499,17381.25,55.0,123,-8.04
3504,17402.5,57.5,126,-8.13
3510,17381.25,57.5,130,-7.94
3515,17435.0,62.5,134,-7.85
3520,17421.25,60.0,136,-7.65
3525,17445.0,63.75,131,-7.56
3531,17478.75,65.0,142,-7.65
3536,17432.5,61.25,141,-7.36
3541,17578.75,70.0,143,-7.27
3546,17640.0,71.25,154,-7.46
3552,17702.5,77.5,155,-7.56
3557,17878.75,82.5,158,-7.75
3562,17927.5,80.0,166,-7.75
3568,17876.25,80.0,166,-7.94
3573,18075.0,83.75,173,-8.32
3578,18286.25,95.0,178,-8.51
3583,18241.25,85.0,184,-8.61
3589,18560.0,96.25,190,-8.79
3594,18517.5,95.0,193,-8.61
3599,18755.0,90.0,200,-8.61
3604,18590.0,86.25,198,-8.79
3610,18815.0,96.25,197,-8.7
3615,18981.25,108.75,213,-8.79
3620,18816.25,95.0,218,-8.89
3626,19218.75,102.5,218,-8.98
3631,19300.0,105.0,217,-8.89
3636,19217.5,91.25,229,-9.26
3641,19373.75,93.75,231,-9.26
3647,19485.0,107.5,242,-9.26
3652,19347.5,103.75,242,-9.26
3657,19051.25,103.75,223,-9.26
3662,19596.25,97.5,232,-9.26
3668,19675.0,106.25,248,-9.35
3673,19440.0,125.0,255,-9.44
3678,19513.75,101.25,247,-9.72
3683,19726.25,117.5,260,-9.81
3689,19378.75,101.25,265,-9.9
3694,19695.0,121.25,277,-10.08
3699,19527.5,128.75,273,-10.26
3705,19781.25,102.5,261,-10.35
3710,19787.5,108.75,273,-10.62
3715,19858.75,121.25,263,-10.8
3720,19707.5,120.0,285,-10.89
3726,19847.5,121.25,283,-11.07
3731,19790.0,110.0,281,-11.34
3736,19786.25,97.5,292,-11.51
3741,19975.0,112.5,290,-11.69
3747,19730.0,108.75,295,-12.04
3752,19886.25,112.5,292,-12.21
3757,19782.5,132.5,280,-12.21
3763,19755.0,113.75,296,-12.47
3768,19850.0,113.75,297,-12.9
3773,19863.75,133.75,289,-12.81
3778,19872.5,117.5,304,-12.9
3784,19801.25,122.5,309,-12.98
3789,19925.0,115.0,311,-13.41
3794,19856.25,112.5,301,-13.58
3799,19941.25,112.5,298,-13.58
3805,20028.75,130.0,317,-13.74
3810,20138.75,137.5,293,-13.91
3815,19953.75,132.5,335,-14.08
3821,20066.25,128.75,318,-14.33
3826,19993.75,122.5,321,-14.25
3831,20045.0,141.25,305,-14.58
3836,20161.25,137.5,317,-14.74
3842,20068.75,130.0,303,-15.15
3847,20027.5,130.0,328,-15.8
3852,20081.25,102.5,310,-15.96
3858,20218.75,111.25,316,-16.04
3863,19962.5,110.0,324,-16.2
3868,20086.25,127.5,326,-16.44
3873,20116.25,117.5,341,-16.44
3879,20078.75,171.25,282,-16.6
3884,20046.25,111.25,322,-17.0
3889,20068.75,113.75,324,-17.08
3895,20081.25,130.0,311,-17.24
3900,20695.0,167.5,376,-17.87
3905,20010.0,126.25,340,-18.41
3910,20767.5,181.25,395,-18.1
3916,20172.5,147.5,437,-18.1
3921,19865.0,127.5,505,-18.64
3926,20113.75,120.0,429,-18.8
3931,21246.25,276.25,468,-19.03
3937,20252.5,268.75,289,-19.26
3942,20172.5,148.75,478,-19.41
3947,20360.0,270.0,322,-20.1
3953,19856.25,115.0,349,-20.25
3958,20752.5,166.25,435,-20.55
3963,20806.25,268.75,382,-20.78
3968,21125.0,276.25,298,-20.55
3974,20208.75,135.0,478,-21.23
3979,20018.75,128.75,430,-21.38
3984,18831.25,182.5,359,-21.45
3990,20156.25,121.25,429,-21.45
3995,20558.75,188.75,511,-22.2
4000,21466.25,255.0,411,-22.49
4005,19865.0,126.25,324,-22.64
4011,19918.75,126.25,503,-22.79
4016,20067.5,276.25,281,-22.86
4021,20190.0,143.75,425,-23.01
4027,20123.75,100.0,420,-23.01
4032,20020.0,96.25,669,-23.3
4037,20017.5,186.25,576,-23.16
4042,19596.25,118.75,430,-23.45
