738,20228.75,2.50,195,6.40
743,18926.25,3.75,187,6.70
748,20626.25,2.50,314,6.70
753,20573.75,2.50,302,6.40
758,20760.00,2.50,293,6.25
764,20850.00,3.75,300,6.11
769,20822.50,3.75,285,5.82
774,19565.00,2.50,183,5.82
779,20811.25,2.50,202,5.82
784,20898.75,3.75,291,5.82
790,20557.50,3.75,195,5.53
795,20528.75,3.75,189,5.24
800,20700.00,3.75,245,5.10
805,20750.00,3.75,362,5.67
810,20542.50,2.50,116,5.53
816,20877.50,2.50,416,5.53
821,20532.50,2.50,356,6.11
826,20586.25,3.75,271,6.55
831,20408.75,2.50,266,6.70
836,20621.25,3.75,56,7.00
841,20563.75,2.50,291,7.15
847,20615.00,2.50,282,7.15
852,20695.00,2.50,263,7.15
857,20665.00,3.75,335,7.15
862,20326.25,0.00,48,7.00
867,19367.50,1.25,44,6.55
873,17448.75,1.25,417,6.40
878,20780.00,5.00,285,6.55
883,20673.75,2.50,299,6.40
888,20973.75,2.50,361,6.70
893,20696.25,2.50,336,6.70
899,20943.75,5.00,399,7.00
904,20795.00,3.75,332,6.85
909,20863.75,3.75,332,7.00
914,20826.25,2.50,354,7.45
919,20836.25,2.50,342,7.60
925,20733.75,2.50,360,7.60
930,20697.50,2.50,327,7.76
935,20721.25,2.50,335,7.91
940,20717.50,1.25,328,7.91
945,20740.00,3.75,332,7.91
950,20827.50,2.50,330,7.76
956,20952.50,2.50,241,7.60
961,20921.25,2.50,294,7.30
966,20087.50,1.25,258,7.00
971,20247.50,3.75,231,5.82
976,15265.00,2.50,34,5.67
982,15216.25,1.25,34,5.67
987,15972.50,1.25,37,5.67
992,19451.25,2.50,40,5.53
997,17095.00,2.50,40,5.53
1002,17330.00,1.25,43,5.67
1008,15131.25,1.25,40,5.67
1013,15726.25,2.50,41,5.53
1018,15986.25,2.50,34,5.53
1023,16682.50,2.50,43,5.53
1028,15225.00,1.25,42,5.67
1034,16716.25,1.25,41,5.53
1039,17487.50,1.25,42,5.53
1044,17927.50,2.50,40,5.38
1049,17431.25,2.50,40,5.38
1054,15701.25,0.00,40,5.38
1060,17280.00,1.25,37,5.53
1065,17863.75,2.50,45,5.38
1070,18050.00,1.25,42,5.38
1075,18591.25,0.00,45,5.38
1080,15428.75,0.00,34,5.24
1086,19991.25,2.50,40,5.38

1096,20015.00,2.50,40,5.24

1106,19945.00,2.50,228,5.67

1117,20306.25,1.25,217,6.40

1127,18407.50,1.25,37,7.00

1137,19035.00,2.50,219,6.40

1148,17128.75,2.50,37,6.11

1158,20337.50,0.00,253,5.96

1169,17177.50,2.50,474,5.67

1179,19401.25,2.50,516,5.53

1189,17780.00,1.25,460,6.11

1200,20542.50,2.50,415,5.38

1210,20691.25,3.75,408,5.38

1220,19741.25,3.75,411,5.53

1231,16540.00,2.50,177,6.11

1241,17791.25,1.25,399,6.25

1252,16953.75,2.50,380,6.70

1262,16245.00,2.50,480,7.00

1272,17222.50,0.00,41,6.55

1283,18766.25,1.25,223,7.30

1293,19315.00,2.50,42,7.30

1304,19015.00,2.50,36,7.30

1314,19790.00,2.50,41,6.70

1324,20428.75,2.50,267,7.30

1335,20025.00,2.50,214,7.00

1345,19235.00,3.75,43,6.85

1355,16815.00,2.50,64,6.85

1366,19706.25,1.25,43,6.70

1376,20943.75,3.75,493,7.60

1387,20573.75,2.50,481,7.76

1397,20687.50,2.50,486,7.76

1407,20171.25,3.75,33,7.30

1418,19855.00,2.50,41,6.40

1428,20401.25,2.50,39,5.96

1439,20407.50,3.75,37,6.25

1449,20528.75,3.75,304,6.55

1459,20573.75,2.50,222,6.55

1470,20835.00,2.50,465,6.70

1480,19828.75,1.25,210,6.70

1491,20530.00,1.25,306,7.00

1501,19946.25,1.25,43,7.91

1511,20080.00,1.25,258,8.54

1522,20076.25,1.25,223,9.84

1532,19685.00,2.50,224,11.03
1537,19778.75,1.25,230,10.69
1543,20090.00,5.00,228,10.69
1548,20106.25,5.00,252,10.52
1553,20078.75,2.50,61,10.18
1558,17677.50,2.50,245,10.52
1563,17362.50,1.25,73,9.51
1569,20125.00,2.50,56,8.54
1574,20048.75,2.50,228,8.70
1579,18405.00,3.75,221,8.54
1584,18188.75,1.25,247,8.38
1590,17990.00,2.50,225,9.35
1595,16797.50,1.25,235,10.01
1600,17865.00,2.50,217,9.35
1605,17398.75,1.25,265,9.68
1610,18001.25,2.50,220,9.51
1616,19647.50,3.75,71,9.19
1621,19535.00,1.25,85,9.68
1626,19468.75,1.25,48,8.23
1631,19351.25,3.75,47,7.76
1637,19412.50,2.50,50,7.45
1642,18450.00,2.50,46,7.15
1647,19553.75,2.50,49,7.00
1652,19211.25,2.50,197,6.85
1657,16355.00,0.00,22,7.00
1663,16838.75,2.50,39,6.85
1668,16246.25,2.50,55,6.85
1673,15758.75,2.50,50,6.85
1678,16906.25,1.25,59,6.85
1683,17006.25,2.50,56,6.70
1689,15821.25,2.50,73,6.70
1694,16641.25,1.25,85,6.55
1699,16546.25,0.00,44,6.70
1704,16772.50,2.50,51,6.40
1710,16210.00,0.00,55,6.25
1715,15597.50,2.50,31,6.25
1720,15988.75,1.25,56,6.25
1725,16458.75,1.25,74,6.40
